power,time
1208.326,1848
1208.38,1847
1208.497,1846
1208.844,1845
1208.965,1844
1208.966,1843
1209.072,1842
1209.443,1841
1209.451,1840
1209.454,1839
1209.539,1838
1209.661,1837
1209.687,1836
1209.869,1835
1209.982,1834
1210.042,1833
1210.076,1832
1210.079,1831
1210.082,1830
1210.109,1829
1210.719,1828
1210.734,1827
1210.885,1826
1210.961,1825
1211.026,1824
1211.031,1823
1211.208,1822
1211.221,1821
1211.3,1820
1211.456,1819
1211.513,1818
1211.563,1817
1211.71,1816
1211.78,1815
1211.937,1814
1211.988,1813
1212.041,1812
1212.129,1811
1212.132,1810
1212.136,1809
1212.227,1808
1212.505,1807
1212.688,1806
1212.813,1805
1212.976,1804
1213.836,1803
1213.908,1802
1214.006,1801
1214.033,1800
1214.071,1799
1214.091,1798
1214.345,1797
1214.443,1796
1214.45,1795
1214.99,1794
1215.016,1793
1215.038,1792
1215.142,1791
1215.174,1790
1215.184,1789
1215.337,1788
1215.341,1787
1215.43,1786
1215.483,1785
1215.487,1784
1215.566,1783
1215.574,1782
1215.62,1781
1216.22,1780
1216.341,1779
1216.363,1778
1216.417,1777
1216.738,1776
1216.915,1775
1217.088,1774
1217.139,1773
1217.231,1772
1217.61,1771
1217.809,1770
1217.899,1769
1218.117,1768
1218.365,1767
1218.376,1766
1219.004,1765
1219.188,1764
1219.379,1763
1219.392,1762
1219.461,1761
1219.731,1760
1219.877,1759
1219.886,1758
1219.924,1757
1219.977,1756
1220.131,1755
1220.189,1754
1220.234,1753
1220.677,1752
1221.019,1751
1221.222,1750
1221.543,1749
1221.567,1748
1221.772,1747
1221.831,1746
1221.852,1745
1221.859,1744
1221.879,1743
1221.941,1742
1221.957,1741
1222.17,1740
1222.211,1739
1222.239,1738
1222.308,1737
1222.473,1736
1222.739,1735
1222.83,1734
1222.911,1733
1222.977,1732
1223.014,1731
1223.029,1730
1223.199,1729
1223.5,1728
1223.609,1727
1223.689,1726
1223.71,1725
1223.717,1724
1223.849,1723
1223.905,1722
1223.942,1721
1224.065,1720
1224.723,1719
1224.868,1718
1224.89,1717
1225.024,1716
1225.145,1715
1225.297,1714
1225.316,1713
1225.363,1712
1225.682,1711
1226.297,1710
1226.314,1709
1226.43,1708
1226.45,1707
1226.657,1706
1226.819,1705
1226.957,1704
1226.984,1703
1227.043,1702
1227.247,1701
1227.275,1700
1227.402,1699
1227.772,1698
1227.848,1697
1227.875,1696
1228.214,1695
1228.254,1694
1228.299,1693
1228.587,1692
1228.6,1691
1228.675,1690
1228.979,1689
1229.059,1688
1229.252,1687
1229.454,1686
1229.628,1685
1229.741,1684
1229.752,1683
1229.876,1682
1229.955,1681
1230.069,1680
1230.251,1679
1230.252,1678
1230.265,1677
1230.335,1676
1230.362,1675
1230.962,1674
1231.026,1673
1231.214,1672
1231.226,1671
1231.231,1670
1231.299,1669
1231.556,1668
1231.783,1667
1231.961,1666
1232.249,1665
1232.361,1664
1232.484,1663
1232.517,1662
1232.632,1661
1232.655,1660
1232.761,1659
1232.802,1658
1233.048,1657
1233.121,1656
1233.501,1655
1233.502,1654
1233.59,1653
1233.691,1652
1233.742,1651
1233.751,1650
1233.791,1649
1233.831,1648
1233.89,1647
1234.3,1646
1234.441,1645
1234.583,1644
1234.828,1643
1234.861,1642
1235.05,1641
1235.234,1640
1235.287,1639
1235.313,1638
1235.788,1637
1236.248,1636
1236.287,1635
1236.393,1634
1236.477,1633
1236.701,1632
1236.83,1631
1237.013,1630
1237.186,1629
1237.193,1628
1237.193,1627
1237.288,1626
1237.389,1625
1237.585,1624
1237.723,1623
1237.749,1622
1237.869,1621
1237.913,1620
1237.922,1619
1237.955,1618
1238.191,1617
1238.349,1616
1238.427,1615
1238.485,1614
1238.505,1613
1239.36,1612
1239.722,1611
1239.862,1610
1239.881,1609
1240.093,1608
1240.182,1607
1241.611,1606
1241.695,1605
1242.251,1604
1242.279,1603
1242.344,1602
1242.485,1601
1242.514,1600
1242.633,1599
1242.741,1598
1242.958,1597
1243.132,1596
1243.278,1595
1243.525,1594
1244.144,1593
1244.491,1592
1244.512,1591
1244.708,1590
1245.058,1589
1245.142,1588
1245.169,1587
1245.616,1586
1245.652,1585
1245.82,1584
1245.88,1583
1246.093,1582
1246.108,1581
1246.288,1580
1246.528,1579
1246.541,1578
1246.588,1577
1246.73,1576
1246.734,1575
1247.111,1574
1247.46,1573
1247.48,1572
1247.746,1571
1247.789,1570
1247.885,1569
1247.968,1568
1248.065,1567
1248.073,1566
1248.157,1565
1248.16,1564
